Nom;Brasserie;Pays;Note;Type;Fermentation;°Alc;Bouteille;Ville;Appréciation;Observations;Nom;;
Adelscott;Fisher/Pêcheur;France;11;Spéciale;haute;6,6;25 cl;Schiltigeim;Bière ambrée, limpide, arôme et goût très maltés ( malt  à whisky) et pénétrants. Peu amère, cette bière reste, à notre goût, mal équilibrée. L'odeur et le goût profonds de malt auraient profité d'une amertume plus marquée et d'un fruité différent.;Bière au  malt  à whisky, présentée dans sa bouteille transparente;Adelscott;;
Adelscott noire;Fisher/Pêcheur;France;13;Spéciale;haute;6,6;25 cl;Schiltigeim;Bière brune, limpide, arôme et goût très maltés ( malt  à whisky) et pénétrants. ;Bière au  malt  à whisky, présentée dans sa bouteille transparente;Adelscott noire;;
Adnams Champion Pale Ale;Adnams;Angleterre;13,5;Pale Ale;haute;3,1;275 ml;Southwold; Pale Ale  dorée-ambrée, limpide. Mousse serrée et abondante, saturation moyenne. Nez fin et onctueux aux multiples arômes de  houblon  (amer+fruité). Saveur nette et ronde, houblonnage franc, amertume et post-amertume marqués Seconde bouche sèche légèrement fruitée. Corps ferme, soutenu et agréable.;;Adnams Champion Pale Ale;;
Aerts 1900 'étiquette noire';Aerts;Belgique;13;Spéciale;haute;7;33 cl;Londerzeel; Spéciale  brune-orangée, limpide (légère lie), peu saturée, mousse beige abondante, de belle texture. Arômes caramélisés, subtilités  de  malt  et  houblon . Saveur propre, coule bien, goût doux (lévres collantes), et malté. Nuances de bois, amertume faible. Agréable, manque de vrai relief.;Bière sur  levure  à triple fermentation;Aerts 1900 'étiquette noire';;
Aerts 1900 'étiquette rouge';Aerts;Belgique;13;Spéciale;haute;8;33 cl;Londerzeel;Une  spéciale  de couleur orange, limpide, mousse onctueuse de tenue très correcte. Arôme subtil, goût franc et agréable, subtilement caramélisé Bonne bière dans l'ensemble, coule bien en bouche, moyennement corsée. A boire fraîche sans verser la  levure;Triple fermentation (sur lie);Aerts 1900 'étiquette rouge';;
Affligem capsule blanche;De smedt;Belgique;15,5;Abbaye;haute;7;33 cl;Opwijk;Blonde-abricot limpide (sur lie). Mousse onctueuse de durée moyenne. Saturation faible, bulles très fines. Arôme distingué, doux mais puissant et nuancé, fruité ( levure ), alcoolisé, caramélisé, liquoreux. Goût doux et fruité, amertume et post-amertume aomatiques, rondeur, nuances épicées.;L' abbaye  d'  Afflighem  appartient à l'ordre des bénédictins.;Affligem capsule blanche;;
Affligem capsule rouge;De smedt;Belgique;15;Abbaye;haute;7;33 cl;Opwijk;Marron-acajou, limpide, mousse abondante, crémeuse, tenace et accrocheuse. Bien  saturée , bulles fines. Arôme puissant, épicé. Nez caramélisé rehaussé de  houblon . Bouche flatteuse, équilibre des saveurs d'épices et de  caramel  Légères amertume et acreté, corps moyen. Post-saveur pleine et sans excès.;L' abbaye  d'  Afflighem  appartient à l'ordre des bénédictins.;Affligem capsule rouge;;
Affligem triple;De smedt;Belgique;16;Abbaye;haute;8,5;33 cl;Opwijk;Abricot-mûr, limpide (sur lie), mousse crémeuse persistante. Bien  saturée , bulles fines. Arôme affirmé de  malt   caramel , nez frais de  houblon . Saveur pleine, douce, riche et fruitée. Avant-bouche alcoolisée. Goût et arrière goût ronds, corsés et persistants. Bière douce, aromatique et  capiteuse .;L' abbaye  d'  Afflighem  appartient à l'ordre des bénédictins.;Affligem triple;;
Agenoise;Timmermans;Belgique;10,5;Lambic;spontanée;3,5;25 cl;Itterbeek;Lambic marron-orangé, limpide, mousse claire et aérée, belle saturation. Au nez, arômes de moisissures nobles mélés aux fragrances douces de prune et de sucre. Saveur sucrée, douce, fruitée, plus que de raison. Légère acidité. Amertume faible, astringence acre persistante, au goût chimique.; Lambic  aux pruneaux. L' agenoise  est une bière du marketing moderne ! Bof !;Agenoise;;
Alder;Haacht;Belgique;11;Pils;Basse;6,5;25 cl;;;;Alder;;
All Black;Brunehaut;Belgique;14;Spéciale;Haute;6;33 cl;Brunehaut;Biere de couleur ebène type stout mais très amère ni trop sucrée. Bonne biére. ;;;;
Altenmünster;Brauhaus Marktobersdorf;Allemagne;13,5;Pils;basse;5;50 cl;Altenmünster;Jaune assez pâle, limpide, bien saturée, belle mousse blanche moyennement serrée. Nez de  malt  et de  houblon  très aromatique et fin, arôme frais, subtil et plaisant. Saveur légère, bouche moelleuse et fine, bien balancée et peu corsée. Amertume peu marquée. Rondeur et légèreté maltée aromatique; Pils  allemande, bien balancée, légère, désaltérante et fine.;Altenmünster;;
Altmunster;Mousel;Luxembourg;11;Pils;basse;5,5;33 cl;;Légèrement dorée, belle mousse abondante, moyennement serrée, belle tenue. Grosses bulles mais peu  saturée . Arôme assez fin, voire faible, de  malt  subtilement houblonné, très léger nez de  caramel . Entrée en bouche neutre Goût faible, post-amertume qui emplit la bouche, un peu cartonnée. Moyenne.;La brasserie  Mousel  fait partie des Brasseries réunies de Luxembourg;Altmunster;;
Ambiorix dubbel;Slaghmuylder;Belgique;15;Spéciale;haute;8;33 cl;Ninove;Brune-rouge, limpide, peu  saturée , belle mousse serrée-crémeuse assez peu tenace. Arôme  caramel  houblonné fin, légèrement épicé. Saveur mi-douce, équilibrée, bien maltée et houblonnée, à peine piquante et caramélisée, corsée sans excès. Arrière goût fin, prolongé. Bonne bière de style  abbaye;Bière fine sur  levure  refermentée en bouteille.;Ambiorix dubbel;;
America's Best;The Stroh Compagny;U.S.A;13;Pils;Basse;5;33 cl;Detroit;Blonde avec un peu plus de gout que les autres americaines.;;;;
Amos;Amos;France;10;Pils;basse;5;25 et 75 cl;Metz;Une  pils  classiquement française, limpide, léger parfum de  houblon . Manque d'âme, bière moyenne. Légère amertume. Idéale pour accompagner un repas (frites par exemple), sans plus.;Amos ; la bière de Metz.;Amos;;
Amstel;Heineken;Hollande;13;Pils;Basse;5;33 cl;Amsterdam;;;;;
Andes;Cervecera nacional;Venezuela;12,5;Pils;basse;4,5;33 cl;Caracas;Pils pâle, finement saturée, à la mousse blanche et serrée. Arôme léger aux tons doux de  malt  et de maïs. Saveur fine, presqu' aérienne, bouche sèche, amertume moyenne. Agréable mais manque légèrement de personnalité. A boire très fraîche, idéale pour étancher les grandes soifs.;Bière de type  pils , caractéristique des bières blondes légères d'Amérique.;Andes;;
Angelus (l');D'annoeullin;France;16;Garde;haute;7;25 et 75 cl;Annoeullin;Blonde, limpide, mousse serrée qui retombe assez vite; excellent bouquet de  malt  légèrement acidulé (froment). Assez ronde, cette bière emplit bien la bouche, moyennement amère elle a un très bon corps. Subtilement douce et acidulée, c'est une des meilleures bières françaises.;Bière de froment française;Angelus (l');;
Anglo Pils;Alken Maes;Belgique;;Pils;Basse;4,8;25cl;Waarloos;;;Anglo Pils;;
Antiek;Isebaert Special Beers;Belgique;15;Spéciale;haute;8;25 cl;Vleteren;Une  spéciale  d'une chaude couleur ambrée, mousse retombant assez vite. Bière claire. Excellente et fine odeur de  malt   caramel . Goût évolutif ; D'abord légèrement  astringent , il devient plus doux par la suite et prend son goût fin et doux de malt caramel . Bon corps. Bonne bière agréable.;Bière naturelle forte. Brassée à l'ancienne.;Antiek;;
Apollo;Big Bang;U.S.A;12;Lager;Basse;4,5;33 cl;St Paul;;Jolie bouteille bleue.;;;
Arabier;De Dolle Brouwers;Belgique;15;Spéciale;haute;8;33 cl;Esen;Blonde, dorée, limpide, belle mousse abondante de durée moyenne. Bière de fermentation haute, relativement sèche et bien houblonnée, un type de bière qu'on ne rencontre pas souvent. Bonne bouche amère et corsée. Vraiment très agréable.;Bière;Ara bier;;
Arten braü;Semeuse;France;13;Pils;basse;4,8;25 cl;Lille; pils  jaune limpide moyennement  saturée . Sa mousse blanche est serrée et assez tenace. Arôme doux et profond pour une  pils , bien houblonné. Bouche pleine bien maltée, ne piquant pas, légères douceur et amertume. Arrière goût équilibré entre la douceur et l'amertume. Bonne  pils  classique.;;Arten braü;;
Artevelde Grand cru;Huyghe;Belgique;15;Spéciale;haute;5,6;33 cl;Melle;Belle mousse onctueuse et abondante, couleur ambrée, léger trouble dû aux levures. Bon arôme de  malt  et léger parfum de  caramel  pour cette bière de bonne facture. Bon corps, légère amertume, bonne bière.;Brassée selon la  loi allemande de pureté  de 1516;Artevelde Grand cru;;
Asahi;Asahi;Japon;11;Pils;Basse;5;33 cl;Tokyo;pils honnête, desalterante.;;;;
Augustijn anno 1295;Van Steenberge;Belgique;13;Abbaye;haute;8;33 cl;Ertvelde;Une  abbaye  belge assez classique. Assez bonne bière, pas extraordinaire.;Bière d' abbaye;Augustijn anno 1295;;
Augustijn grand cru;Van Steenberge;Belgique;14;Abbaye;haute;9;33 cl;Ertvelde;Une blonde sur lie, légèrement ambrée, assez forte, mais sans arrière goût d'alcool. Coule bien en bouche, léger fruité des levures, bière équilibrée avec quand même un certain manque de tenue en bouche. Bière agréable sans être vraiment extraordinaire.;Bière d' abbaye;Augustijn grand cru;;
Augustiner Braeu München Edelstoff;Augustiner;Allemagne;14,5;Münchner;basse;5,5;50 cl;Münich;Blonde jaune, transparente, assez peu saturée, mousse blanche assez serrée. Odeur fraîche et nette de  malt  et de  houblon  très aromatique, douceur et fruité très présents. Saveur houblonnée aromatique, fruité harmonieux et assez concentré, goût malté marqué. Plénitude, rondeur, fruité et arôme.;;Augustiner Braeu München Edelstoff;;
Augustinerbraü Lagerbier Hell;Augustiner;Allemagne;15;Münchner;basse;5;50 cl;Münich; Münchner  jaune, très pâle, cristalline, mousse blanche fine à tenue moyenne Nez aromatique, rondeur et douceur maltée, fruité intense. Bouche ample à dominante maltée, ronde, douce, fruitée. Houblonnage sec et harmonieux. Rondeur de  malt  et  houblon. Plénitude de corps et équilibre. Une référence. .;Bière de type  Münchner .;Augustinerbraü Lagerbier Hell;;
Augustinerbräu Oktoberfest;Augustiner;Allemagne;15;Münchener;basse;5,7;50 cl;Münich;Münchener jaune pâle, cristalline, finement saturée, mousse blanche fine. Nez rond et doux de  malt , très agréable, aux subtils parfums fruités. Saveur maltée ronde, douce et fruitée, arrière goût très légèrement sucré. Amertume peu marquée. Bouche savoureuse, maltée, ample et douce. A goûter !;Bière de type;Augustinerbräu Oktoberfest;;
Aulne 10°;Leveau;Belgique;;Abbaye;Haute;10;33 cl;Charleroi;;;Aulne 10°;;
Aulne 8°;Leveau;Belgique;13;Abbaye;Haute;8;33 cl;Charleroi;;;Aulne 8°;;
Aulne des Peres;Leveau;Belgique;14;Abbaye;haute;7;33 cl;Charleroi;Bière blonde dorée.;;Aulne des Peres;;
Australian Crocodile;Appeltoffstka;Australie;12,5;Pils;basse;4,5;33 cl;; Pils  jaune pâle, cristalline, bien saturée, mousse blanche assez peu serrée Arôme net de houblons aromatiques, amertume équilibrée et fruité léger du  malt  et du maïs. Saveur nette, un peu trop douce, sans être extraordinaire.; Pils  classique, amertume bien balancée. Un peu trop douce et;Australian Crocodile;;
Bacchus;Van Honsebrouck;Belgique;14;Spéciale;haute;4,5;25 cl;Ingelmunster;Marron-orangée, foncée, cristalline, saturation moyenne de bulles fines. Mousse beige fine et serrée. Arôme acide, bouquet aigre-doux puissant, bouche pleine et fraîche, mi-douce, se prolongeant bien en légères saveurs de  malt  âpres et boisées. Bonne bière ' Oud Bruin ' douce et rafraîchissante;Bière de type ' Oud Bruin ' brassée en  Flandres  Belges.;Bacchus;;
Ballard's gone fishing;Ballards;Angleterre;13;Barley Wine;haute;8,9;275 ml;;Bière marron-acajou, troublée par la  levure . Mousse beige crémeuse mais de faible tenue. Arôme sucré, nez intense et liquoreux à dominante de  malt . Saveur douce, goût fruité de liqueur de prune. Bouche sucrée, presque sirupeuse. Amertume faible, corps ample, belle longueur. Réconfortante.;;Ballard's gone fishing;;
Barbar;Lefévre;Belgique;13;Spéciale;Haute;8;33 cl;Quenast;Bière forte au miel refermentée en bouteille.;;;;
Bass Pale Ale;Bass;Angleterre;14;Pale Ale;haute;4,4;25 cl 50 cl;Burton upon Trent;Une bonne  Ale , au goût de  malt  et de  houblon  prononcé Bonne bière, à apprécier à sa juste valeur, perd certainement beaucoup de sa valeur par rapport à la version 'draught' (pression);Représentante typique des  Pale Ale;Bass Pale Ale;;
Bécasse Framboise lambic;Brasseries bruxelloises;Belgique;12;Lambic;spontanée;5,2;25 cl;Bruxelles;Sucrée et astringente, comme la framboise dont elle est tirée, cette bière reste correcte, mais quand même bien moyenne, car trop couverte par le goût du fruit. Lambic  commercial classique qui plaira au novice.;;Bécasse Framboise lambic;;
Bécasse Gueuze lambic;Brasseries bruxelloises;Belgique;14;Lambic;spontanée;5,2;33 et 25 cl;Bruxelles;Une gueuze cuivrée, fabriquée en région bruxelloise. Mousse fugace, goût sur, typique des gueuzes, quoiqu'assez doux. Assez bonne  gueuze , un peu trop douce peut-être.  Lambic  commercial assez classique, devrait plaire au novice.;;Bécasse Gueuze lambic;;
Bécasse Kriek lambic;Brasseries bruxelloises;Belgique;13;Lambic;spontanée;5,2;25 ou 33 cl;Bruxelles;Une assez bonne  kriek , à déguster dans son verre approprié Son goût devrait plaire au plus grand nombre car il est assez sucré (Peut-être plus qu'il ne faudrait, ce qui plaît au public)  Lambic  commercial assez classique.;;Bécasse Kriek lambic;;
Beck's bier;Beck;Allemagne;12;Pils;basse;5;25 cl;Breme;Une pils allemande, moyennement amère, belle mousse légèrement crémeuse. Couleur pâle, bon arôme de  malt , bière assez peu  saturée  en gaz, qui reste moyenne dans l'ensemble, malgré sa célébrité.;;Beck's bier;;
Bell pils;Moortgat;Belgique;12;Pils;Basse;5,3;25 cl;Breendonk;Bière blonde de couleur dorèe èlaborer sans produits chimiques.;;Bell pils;;
Belle-Vue Framboise lambic;Vandenstock;Belgique;12,5;Lambic;spontanée;5,2;25 ou 33 ou 37.5 cl;Bruxelles;Gueuze parfumée à la framboise, goût sur mais un peu trop doux. Bière manquant de finition, et de corps. Moyenne.;;Belle-Vue Framboise lambic;;
Belle-Vue Gueuze lambic;Vandenstock;Belgique;12,5;Lambic;spontanée;5,2;25 ou 33 cl;Bruxelles;Une  gueuze  correcte, assez douce. Très largement commercialisée en France et en Belgique. Ambrée, belle mousse retombant assez vite, probable mélange de spontanée et de haute. Trop douce à notre goût.;La  Gueuze  est une des seules bières au monde protégée légalement;Belle-Vue Gueuze lambic;;
Belle-Vue Kriek lambic;Vandenstock;Belgique;13,5;Lambic;spontanée;5,2;25 ou 33 cl;Bruxelles;Une  kriek  qui se vend très bien en France. Bière douce, rouge foncé. Belle mousse assez fine, mais goût un peu trop doux et fruité. Flatte le palais mais, paradoxalement ne l'accroche pas vraiment. Pour avoir une idée des tendances actuelles des lambics parfumés.;Gueuze parfumée à la cerise ( kriek lambic );Belle-Vue Kriek lambic;;
Belle-Vue Kriek lambic Primeur;Vandenstock;Belgique;14;Lambic;spontanée;5,2;25 cl ;Bruxelles;Kriek faite avec les premiéres cerise de l'année précedentes. Gout légèrement par rapport à la Belle-Vue . Bonne kriek .;Gueuze parfumée à la cerise ( kriek lambic );Belle-Vue Kriek lambic Primeur;;
Belzebuth;Jeanne d'Arc;France;12;Spéciale;Haute;15;25 cl;Ronchin;Bière blonde avec un très goût d'alcool.;;;;
Benedict;De kluis;Belgique;15,5;Abbaye;haute;7,3;33 cl;Hoegaarden;abbaye  brune foncée, sur lie, bien  saturée  en bulles fines. Mousse claire, serrée et tenace. Arôme  caramel  épicé, rond, profond mais distingué. Saveur douce, goût de  levure , houblonnage aromatique. Bouche ronde et assez peu agressive, richesse de goût, arrrière goût équilibré. Très bien faite.;Cette bière a, en son temps, usurpé la dénomination  trappiste .;Benedict;;
Benelux Pils;Saarfürst;Luxembourg;13;Pils;basse;4,8;50 cl;Merzig/Sarre;Pils claire, cristalline, bien saturée en bulles moyennes.Mousse blanche moyennement tenace. Arôme net et classique, nez doux et profond de malt, réminiscences de houblon subtiles. Saveur ronde, houblonnage aromatique, goût doux, amertume assez faible. Post-amerrtume légère. Bien équilibrée.;;Benelux Pils;;
Bergenbier;;;;Pils;;;;;;;Bergenbier;;
Bernoville;Bernoville;France;14;Garde;Haute;5,5;75 cl;Aisonville;;;;;
Bière de Garde;Theillier;France;12,5;Garde;haute;4,6;33 cl;Bavay;Couleur acajou, limpide, belle mousse beige onctueuse, saturation fine. Arôme fin, nez légèrement malté/fruité, avec quelques touches subtilement fumées. Saveur plutôt équilibrée, bouche légère manquant de corps, goût aérien assez sec, peu sucré. Amertume nette, sans excès. Manque de rondeur.;Bière de  garde . Manque légèrement de rondeur (faible degré d'alcool);Bière de Garde;;
Bière de luxe de St Omer;Brasserie de St Omer;France;9;Pils;basse;5;100 cl;St Omer;Bière de table française, arôme bien houblonné, mais reste au niveau des bières de table. Idéale pour accompagner un repas.;;Bière de luxe de St Omer;;
Bière de luxe Theillier;Theillier;France;13;Spéciale;haute;4,6;25 cl;Bavay;Bière dorée, bien saturée en bulles grosses, mousse blanche abondante. Nez aromatique de levures fruitées et fleuries, houblonnage doux et léger. Saveur ronde, à dominante maltée, peu amère. Bouche marquée par le goût fruité/doux, ample, assez durable avec de la mâche et une certaine densité.;Bière blonde sur lit de  levure . Peu amère, peu relevée. Goût malté dense.;Bière de luxe Theillier;;
Bière de Mars Schutz;Schutzenberger;France;13,5;Spéciale basse;basse;5,2;75 cl;Schiltigeim;Ambrée-orangée, cristalline, bien saturée en bulles fines, mousse blanche assez serrée et stable. Arôme léger de  caramel  et de  houblon . Saveur bien balancée, équilibrée entre l'amertume du houblon et la douceur du caramel. Bien en bouche, post-amertume plaisante, agréable quoiqu'un peu douce.;;Bière de Mars Schutz;;
Bière de Noël;de Montceau St Waast;France;15;Garde;haute;6;75 cl;Montceau St Waast;Bière de  garde  de noël, de couleur acajou, limpide, mousse fine et assez peu développée. Arôme typique, nez fin de  caramel  et de  houblon , nuances boisées et acides. Saveur fine, vineuse, très bien équilibrée, ronde et douce. Bouche très agréable. Bouche très agréable. Bonne bière du  Nord , très typée.;Bière de  garde , à la saveur typique et inhabituelle.;Bière de Noël;;
Bière de Noël de St Sylvestre;de St Sylvestre;France;15,5;Bière de Noël;haute;8;75 cl;St Sylvestre Cappel;Cuivrée-orangée, cristalline, mousse abondante, serrée de tenue moyenne, moyennement  saturée , bulles assez grosses. Nez puissant et riche de  houblon  et de  caramel , alcoolisé et subtilement épicé. Saveur pleine et ronde, légèrement piquante, arrière goût caramélisé-alcoolisé. Très bonne bière.;Bière des  Flandres  françaises.;Bière de Noël de St Sylvestre;;
Bière de Noël Semeuse 'La Facon';Semeuse;France;9;Bière de Noël;basse;4,8;25 cl;Lille;Orangée, cristalline, mousse serrée et abondante,  saturation  moyenne-faible Arôme léger de  malt  houblonné, subtil nez de  caramel . Goût proche d'une  pils  caramélisée. Saveur légèrement amère, arrière goût faible et peu prolongé.;Bière de Noël;Bière de Noël Semeuse 'La Facon';;
Bière de St Nicolas de Port;IFBM;France;12;Pils;basse;6,3;33 cl;Nancy;Pils dorée, limpide, mousse blanche, finement saturée. Nez malté doux et assez profond. Saveur franche, un peu collante. Houblonnage moyen, bouche riche pour une pils, mais perd son caractère rafraîchissant par son fort degré d'alcool. Techniquement bien réalisée, mais typiquement française.;Brassée pour le musée français de la brasserie par l'IFBM.;Bière de St Nicolas de Port;;
Bière des sans culottes;La choulette;France;13;Garde;haute;7,5;75 cl;Hordain;Une bière blonde abricot, trouble (important dépôt de  levure  très légère) Un goût fruité et légèrement amer, un peu acide et acre (levures) Bonne bière surprenante.;;Bière des sans culottes;;
Bière du corsaire;Artevelde;Belgique;14,5;Spéciale;haute;9,1;33 cl;Melle;Spéciale blonde-abricot, trouble, très saturée, mousse blanche abondante, serrée et tenace. Arôme relevé, épicé, aux tons doux et piquants d'alcool. Arôme fruité de  levure . Saveur sucrée, ronde mais pleine de relief (alcool) Peu d'amertume. Arrière goût ong légèrement acre, doux et très aromatique.;Bière  spéciale , capiteuse, douce et relevée.;Bière du corsaire;;
Bière du démon;Enfants de Gayant;France;14;Spéciale basse;basse;12;33 cl;Douai;Jaune assez pâle, limpide, finement saturée, mousse blanche abondante, fine et serrée, de belle tenue. Arôme profond et piquant d'alcool, nez doux de liqueur et d'eau de vie (poire, mirabelle). Saveur pleine, bouche ample et dense. Goût puissant et sucré, sans être écoeurant. Bonne bière très forte.;Bière blonde forte selon une recette suisse.;Bière du démon;;
Bière du désert;Enfants de Gayant;France;14;Spéciale;haute;7;33 cl;Douai;Bière  spéciale , d'un jaune très pâle, limpide, mousse blanche serrée, à la saturation moyenne. Arôme assez frais, équilibre malt- houblon , nez doux aux légers tons d'alcool. Saveur de  malt  franche, bouche ample, corps bien marqué et persistant, amertume moyenne, un peu trop sucrée. Correct;7% de plaisir torride (!). Bière forte, assez douce, simple et franche.;Bière du désert;;
Bière du Mont Saint Aubert;de Brunehaut;Belgique;14;Spéciale;haute;8;33 cl;Brunehaut;Bière blonde.;;;;
Bischoff;Bischoff;Allemagne;14;Pils;basse;4,3;33 cl;Winnweiller;Pils  claire, cristalline, bien saturée en bulles petites, mousse blanche moyennement serrée. Arôme de  malt  finement houblonné, saveur très franche de  houblon , amertume marquée mais peu aromatique, post-amertume longue et pleine. Pils agréable, presque trop amère pour être rafraîchissante.;Pils allemande au goût amer très marqué.;Bischoff;;
Bitburger;Bitburger;Allemagne;12,5;Pils;basse;4,6;33 cl;Bitburg;Pils  claire, cristalline, mousse blanche peu serrée moyennement stable. Saturation moyenne. Arôme frais, nez de  houblon  aromatique. Saveur franche et agréable, sèche et èquilibrée, houblonnage marqué mais amertume moyenne. Corps bien balancé. Bonne bière de type pils, rafraîchissante et agréable.; Pils  très connue en allemagne, au slogan typique;Bitburger;;
Black Sheep Ale;Black Sheep;Angleterre;16;Ale;haute;4,4;50 cl;Masham;Ale rousse, limpide, finement saturée. Mousse claire, tenace. Arôme fin de  malt , légers tons de  caramel . Saveur toute en finesse, amertume idéalement dosée et équilibrée. Goût harmonieux, léger, aromatique et fruité (malt et  houblon ). Palais assez ec, fini long et subtil, rondeur délicate. Bravo !;Excellente  Pale Ale  anglaise, fine, délicate et légère.;Black Sheep Ale;;
Black Stout;Young & Co's;Angleterre;15;Stout;haute;5;33 cl;Londre;Stout ressenblant un peu à la Guinness mais pas aussi typé.;;;;
Blanche de Bruges;De gouden boom;Belgique;13;Blanche;haute;5;25 cl;Bruges;Bière pâle et trouble. Arôme fruité et acide. Coule bien en bouche, mais attention à son  goût évolutif  variant de l'acide piquant (à l'ouverture de la bouteille, à cause de sa forte  saturation ) à l'acidulé moelleux (après quelques minutes de repos en verre).  Blanche  acide mais moelleuse.;Bière  blanche  de froment et d'orge;Blanche de Bruges;;
Blanche de Chambly;Unibroue;Canada;14;Blanche;Basse;5;75 cl;Chambly;;;;;
Blanche de Charleroi;Leveau;Belgique;14;Blanche;Haute;5;25cl;Charleroi;;;;;
Blanche de Thy;Huyghe;Belgique;14;Blanche;haute;4,5;25 cl;Melle;Bière  blanche  de couleur jaune très pâle, voilée, très saturée en bulles moyennes à grosses, mousse aérée surabondante. Nez doux de céréales et d'herbe fraîche. Saveur très acide, douceur fromentacée agréable et ronde, goût très franc et très typique. Agréable, ronde mais acide et  astringente .;;Blanche de Thy;;
Blanche des neiges;Huyghe;Belgique;16;Blanche;haute;5;33 cl;Melle;Jaune pâle, troublée par un important dépôt de levure, saturation très importante, mousse blanche surabondante et tenace. Arôme très parfumé et doux de céréales fromentacées. Saveur ronde et douce, acide à souhait mais sans excès, goût fromentacé/acide trrès bien équilibré. Très bonne bière.;Bière  blanche , au goût doux, rond et acide très bien équilibré.;Blanche des neiges;;
Blanch-ke;Van honsebrouck;Belgique;13,5;Blanche;haute;5;25 cl;Ingelmunster;Blonde pâle, trouble, mousse blanche peu serrée, peu tenace, et de faible saturation. Arôme doux, nez de céréale. Légère attaque acide, agréable. Présence des aromates (coriandre, curaçao) en début de dégustation, goût sec, saveur assez peu acide. Arrière-goût ténu et sec.  blanche  agréable.;Importante lie en suspension dans le verre. A boire très fraîche (7 ).;Blanch-ke;;
Blondine;Van steenberge;Belgique;16,5;Spéciale;haute;9;25 cl;Ertevelde;Abricot-dorée, limpide (sur lie), mousse blanche abondante, peu serrée et tenace. Nez puissant de  malt  doux et de  houblon  frais aromatique et fruité. Goût rond, doux et corsé de  malt ,  levure  et  houblon . Equilibre doux-amer Bouche puissante et virile, bien que fine et fruitée. Très bonne bière.;Blonde sur lie, refermentée en bouteille. Force, puissance et douceur.;Blondine;;
